Room 0 0 Es_ist_ein_schoener_Tag! Bucket <item2> <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 4 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 5 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 6 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 7 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 8 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 9 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
